,0. Agartala (IXA)  ,1. Agatti (AGX)  ,2. Agra (AGR)  ,3. Ahmedabad (AMD)  ,4. Aizawl (AJL)  ,5. Amritsar (ATQ)  ,6. Aurangabad (IXU)  ,7. Ayodhya (AYJ)  ,8. Bagdogra (IXB)  ,9. Bareilly (BEK)  ,10. Belagavi (IXG)  ,11. Bengaluru (BLR)  ,12. Bhopal (BHO)  ,13. Bhubaneswar (BBI)  ,14. Chandigarh (IXC)  ,15. Chennai (MAA)  ,16. Coimbatore (CJB)  ,17. Darbhanga (DBR)  ,18. Dehradun (DED)  ,19. Delhi (DEL)  ,20. Deoghar (DGH)  ,21. Dharamshala (DHM)  ,22. Dibrugarh (DIB)  ,23. Dimapur (DMU)  ,24. Diu (DIU)  ,25. Durgapur (RDP) NEW  ,26. Gaya (GAY)  ,Goa (GOI)  ,28. Gondia (GDB)  ,29. Gorakhpur (GOP)  ,30. Guwahati (GAU)  ,31. Gwalior (GWL)  ,32. Hirasar (HSR)  ,33. Hubli (HBX)  ,34. Hyderabad (HYD)  ,35. Imphal (IMF)  ,36. Indore (IDR)  ,37. Itanagar (HGI)  ,38. Jabalpur (JLR)  ,39. Jagdalpur (JGB)  ,40. Jaipur (JAI)  ,41. Jaisalmer (JSA)  ,42. Jammu (IXJ)  ,43. Jharsuguda (JRG)  ,44. Jodhpur (JDH)  ,45. Jorhat (JRH)  ,46. Kadapa (CDP)  ,47. Kannur (CNN) NEW  ,48. Kanpur (KNU)  ,49. Khajuraho (HJR)  ,50. Kochi (COK)  ,51. Kolhapur (KLH)  ,52. Kolkata (CCU)  ,53. Kozhikode (CCJ)  ,54. Kurnool (KJB)  ,55. Leh (IXL)  ,56. Lucknow (LKO)  ,57. Madurai (IXM)  ,58. Mangaluru (IXE)  ,59. Mumbai (BOM)  ,60. Mysuru (MYQ)  ,61. Nagpur (NAG)  ,62. Nashik (ISK)  ,63. North Goa (GOX) NEW  ,64. Pantnagar (PGH)  ,65. Patna (PAT)  ,66. Port Blair (IXZ)  ,67. Prayagraj (IXD)  ,68. Pune (PNQ)  ,69. Raipur (RPR)  ,70. Rajahmundry (RJA)  ,71. Rajkot (RAJ)  ,72. Ranchi (IXR)  ,73. Salem (SXV)  ,74. Shillong (SHL)  ,75. Shirdi (SAG)  ,76. Shivamogga (RQY)  ,77. Silchar (IXS)  ,78. Srinagar (SXR)  ,79. Surat (STV)  ,80. Thiruvananthapuram (TRV)  ,81. Tiruchirappalli (TRZ)  ,82. Tirupati (TIR)  ,83. Tuticorin (TCR)  ,84. Udaipur (UDR)  ,85. Vadodara (BDQ)  ,86. Varanasi (VNS)  ,87. Vijayawada (VGA)  ,88. Visakhapatnam (VTZ)
54. Kurnool (KJB)  ,,,,,,,,,,,,65,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195
55. Leh (IXL)  ,,,,,,,,,,,,,,,60,,,,,75,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,0,,,,165,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,
56. Lucknow (LKO)  ,,,,170,,80,,,,,,155,100,,70,150,,,,75,,,,,,,,,,,105,,,,175,,123,,,,100,,,,,,,,,,,,155,,,,0,,,140,,115,,140,,65,,50,123,85,,,,,,,,,,,,,,,,,58,,
57. Madurai (IXM)  ,,,,,,,,,,,,85,,,,80,,,,200,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,0,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58. Mangaluru (IXE)  ,,,,,,,,,,,,55,,,,105,,,,175,,,,,,,,,,,,,,,110,,,,,,,,,,,,,53,,,,,,,,,,,0,100,,,,,,,,,68,,,,,,,,,,,,,60,,,,,,,
59. Mumbai (BOM)  ,,,115,80,,145,130,,175,140,73,90,,148,145,120,110,140,130,145,,,,,65,,,80,,135,115,,75,73,85,,80,,105,,105,,160,,100,,100,,120,,120,65,165,115,,185,135,135,90,0,,90,,,,185,130,,,110,,,140,,,,,,165,,140,120,,,85,68,130,110,125
60. Mysuru (MYQ)  ,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61. Nagpur (NAG)  ,,,,120,,,80,,,,90,100,,,,,,,,100,,,,,,,,,,,,,,,95,,75,,,,,,,,,,,,,,,,95,,,,110,,,90,,0,,,,,,,70,,,,,,,,,,,,,,,,,,,,
62. Nashik (ISK)  ,,,,85,,,,,,,,110,,,,,,,,115,,,,,,,,100,,,,,,,115,,70,,,,,,,,,,,,,,,,,,,,,,,,,90,0,103,,,,,,,,,,,,,,,,,,,,,,,,,
63. North Goa (GOX) NEW  ,,105,,105,,,105,,,,,75,,,165,90,75,,,160,,,,,,,,,,,,,90,,75,,,,,,125,,,,,,,,,,,,170,,,,,,,80,,95,110,0,,,,,65,,,,,,,,50,,,,,,,,,85,,,
64. Pantnagar (PGH)  ,,,,,,,,,,,,155,,,,,,,53,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,85,,
65. Patna (PAT)  ,,,,135,,,,,,,,,,83,105,145,,,,110,60,,,,,,,,,,75,,,,120,,,,,,,,,,,,,,,,,,70,,,,60,,,155,,,,,,0,,,150,,,,50,,,,,,,,,,,,,,,,
66. Port Blair (IXZ)  ,,,,,,,,,,,,150,,,,135,,,,240,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,130,,,,,,,165,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,130
67. Prayagraj (IXD)  ,,,,,,,,,,,,135,,115,,,,,,105,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,48,,,135,,,,,,,,0,,90,,,,,,,,,,,,,,,,,,,
68. Pune (PNQ)  ,,,,90,,160,,,,,,90,,70,135,100,100,,140,135,,,,,,,,65,,,175,,75,80,70,,70,,,,120,,,,100,,,,,,110,,155,,,,130,,80,,,85,,65,,130,,,0,100,,,120,,,,,,,65,,,,,,70,123,,120
69. Raipur (RPR)  ,,,,105,,,,,,,,108,90,55,,110,,,,110,,,,,,,,115,,,,,,,80,,80,,,65,,,,,,,,,,,,,83,,,,,,,105,,,,,,,,85,80,0,,,,,,,,,,,,,,,,,,,
70. Rajahmundry (RJA)  ,,,,,,,,,,,,108,,,,90,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
71. Rajkot (RAJ)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
72. Ranchi (IXR)  ,,,,125,,,,,,,,110,,90,,125,,,,118,60,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,65,,70,,,,,,,155,,,,,,55,,,125,,,,0,,,,,,,,,,,,,,,,
73. Salem (SXV)  ,,,,,,,,,,,,55,,,,55,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
74. Shillong (SHL)  ,,,,,55,,,,,,,,,,,,,,,205,,,60,55,,,,,,,40,,,,,60,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
75. Shirdi (SAG)  ,,,,,,,,,,,,98,,,,115,,,,118,,,,,,,,,,,,,,,78,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
76. Shivamogga (RQY)  ,,,,,,,,,,,,55,,,,90,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,0,,,,,,68,,,,,,
77. Silchar (IXS)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,50,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
78. Srinagar (SXR)  ,,,,125,,60,,,,,,210,,,70,,,,,95,,,,,,,,,,,,,,,180,,,,,,,,55,,,,,,,,,,165,,,55,,,,180,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
79. Surat (STV)  ,,,,,,,,,,,,115,,,,120,,,,110,,,,,55,,,78,,,,,,,108,,80,,,,75,,,,,,,,,,,,180,,,,,,,,,,,,,,,,55,,,,,,,,,,,0,,,,,,,,,
80. Thiruvananthapuram (TRV)  ,,,,,,,,,,,,75,,,,80,,,,205,,,,,,,,,,,,,,,100,,,,,,,,,,,,,60,,,50,,,60,,,,,,140,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
81. Tiruchirappalli (TRZ)  ,,,,,,,,,,,,65,,,,70,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,60,100,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
82. Tirupati (TIR)  ,,,,,,,,,,,80,55,,,,,,,,153,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,0,,,,,70,95
83. Tuticorin (TCR)  ,,,,,,,,,,,,100,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
84. Udaipur (UDR)  ,,,,70,,,,,,,,135,75,,,,,,,80,,,,,,,,,,,,,,,100,,65,,,,65,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
85. Vadodara (BDQ)  ,,,,,,,,,,,,120,,,,130,,,,100,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,85,,,,,60,,,,,,,,,,,,,,,,,0,,,
86. Varanasi (VNS)  ,,,,125,,,,,,,,155,,110,,130,,,,90,,,,,,,,,,,,,,,120,,130,,,,,,,,,,,,,,,,80,,,,55,,,150,,,,,90,,,,125,,,,,,,,,,,,,,,,,,0,,
87. Vijayawada (VGA)  ,,,,,,,,,,,,100,,,,80,,,,145,,,,,,,,,,,,,,,65,,,,,,,,,,,,65,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,145,,,,,,75,,,,,,0,60
88. Visakhapatnam (VTZ),,,,,,,,,,,,95,,,,75,,,,140,,,,,,,,,,,,,,,75,,,,,,,,,,,,105,,,,,,90,,105,,,,,130,,,,,,,125,,105,,,,,,,,,,,,,105,,,,,,60,0
